SP;STI_rep_mean;STI_rep_sd;STI_hiv_mean;STI_hiv_sd
Accipiter nisus;12.6981384065121;4.30398458058199;5.51179271993474;10.6210913285258
Actitis hypoleucos;;;22.3349751856501;5.36786441524748
Alcedo atthis;19.3923468450535;6.72469930239138;11.005341813313;10.0439802941938
Anas acuta;10.5551214801722;4.80049571622053;15.1014672809853;9.09281510968297
Anas crecca;11.2262351148909;4.7257694708483;12.942121539305;10.3475076844414
Anas platyrhynchos;13.4294887353376;5.3475854336288;2.38692229739598;9.11820151206552
Anser anser;15.3284242323404;4.5917346211368;11.1984305376955;7.11893926464285
Casmerodius albus;;;22.3572777761959;6.46552127761803
Ardea cinerea;19.4766432222791;6.43076924975772;18.0677731494799;9.13932811457394
Aythya ferina;14.9483001904697;4.14338122703698;12.6544501441854;9.14198332455061
Aythya fuligula;12.1309856267036;3.93102579008675;11.7896060139711;10.3620439584617
Bubulcus ibis;21.8088539722878;6.46526922646821;21.8650159978766;6.21364095451204
Buteo buteo;14.9933409367234;3.25280914657749;12.6715373418135;11.5469124952361
Calidris alba;;;20.5040634751348;7.2437339998836
Calidris alpina;;;11.5354457026203;7.40486502301286
Calidris canutus;;;20.9934506075425;6.1751934260675
Calidris ferruginea;;;23.7504478035987;3.26749227612299
Calidris maritima;;;-3.02346380090774;5.71198665783526
Calidris minuta;;;23.0182688577099;4.22866089527699
Charadrius alexandrinus;20.5361048094083;6.07653632440504;18.2749801552613;7.76336218088235
Charadrius dubius;17.8843511903015;6.73934389405724;;
Charadrius hiaticula;;;22.5691289737459;4.82870869379104
Ciconia ciconia;17.8328475197802;3.61568112243673;;
Circus aeruginosus;16.8081232941755;4.75948681612104;21.0532907928247;7.06185113890725
Luscinia svecica;11.1732421785605;4.98001686089817;;
Cygnus olor;16.9347263041957;3.6341792289222;-0.162410553191419;7.39900338888845
Egretta garzetta;21.9229199855534;6.61641729888552;21.447455144563;7.16220088634456
Falco peregrinus;;;16.0114625906428;11.5898992980758
Falco subbuteo;14.803769029007;5.00467106201025;;
Fulica atra;17.1576141906869;6.26542302941592;14.7894039402002;11.397343508026
Gallinago gallinago;;;18.1643795800966;8.69561228100919
Gallinula chloropus;20.4461633244485;6.73877709283318;15.6942780088865;10.1058799886702
Haematopus ostralegus;16.2140106301099;5.07224988454746;15.8912742344297;7.53551097508946
Himantopus himantopus;19.7374580523046;6.56307073345736;;
Larus argentatus;11.7206423271625;2.32276925882902;1.29416232640765;4.19986109305213
Larus canus;;;2.28896726495889;6.95681225046749
Larus fuscus;7.55928172920318;6.11346397532106;17.7625298824848;8.08541788003087
Larus marinus;8.49401708402466;5.06455735331676;-2.6674350767017;6.97337941970883
Larus melanocephalus;;;10.1844557513467;3.88614618999059
Larus michahellis;19.317229231701;2.79974584342257;4.92663233580225;5.01203884205929
Chroicocephalus ridibundus;13.9175122861053;3.9856992035972;8.67776768282762;9.65343275576083
Limosa lapponica;;;22.2870559979436;5.64932375887907
Limosa limosa;;;21.8669321150865;5.56682834785354
Lymnocryptes minimus;;;20.3578971168382;7.74519945486023
Anas penelope;;;13.5480418257748;8.96348857640724
Anas strepera;16.1165381445261;4.34159395778774;9.12116450179309;9.00196693621069
Milvus migrans;17.7169909277066;6.20603598792465;;
Numenius arquata;13.7179143135751;3.04927752654481;19.0062186379854;7.87489956268244
Nycticorax nycticorax;21.2178149529516;6.94552174452497;21.0056415805074;6.57600325880391
Phalacrocorax carbo;18.0993976581152;6.95980529095755;19.2021830625908;9.42947529990868
Platalea leucorodia;;;17.3819300362618;6.16247614602602
Pluvialis apricaria;;;6.38783671075438;3.4709175418499
Pluvialis squatarola;;;20.0940172562832;7.95058028841673
Podiceps cristatus;16.6465251590491;4.91854605294767;14.2378827019173;9.58603159913748
Podiceps nigricollis;;;13.3678487743642;8.1430559541726
Rallus aquaticus;15.9142435821734;5.50240469476164;0.0446274180437598;10.2190708869366
Recurvirostra avosetta;17.0402384653933;5.1826662834993;21.7729880073362;5.33814509913871
Anas clypeata;12.9092400602276;4.5945093414865;14.2932815144366;8.81562645314576
Anas querquedula;14.7217836545332;3.95727651708799;;
Tachybaptus ruficollis;22.0667731934255;6.2531282064466;17.4881615353659;9.32819644589313
Tadorna tadorna;17.3188426758532;5.52045959853105;6.51414234968846;6.445149101492
Sterna sandvicensis;20.0983953864776;6.41240060306293;20.9408607837207;5.69422177557288
Threskiornis aethiopicus;23.3787960105789;6.27028050941036;;
Tringa ochropus;;;20.0864465925951;7.2941380985034
Tringa totanus;15.3686329774588;5.35833375340065;16.9154609163806;8.59439868268998
Vanellus vanellus;15.0435421058808;3.92414666176288;6.21110715547461;5.99592541964945
Larus magna sp;13.5308120014798;2.54719068852774;5.59502078718374;4.64829448521057
