SP;SAISON;YEAR;MEAN_YEAR;MEAN_GLOB
Actitis hypoleucos;Hivernage;1981;0,3;0,59208185089764
Actitis hypoleucos;Hivernage;2004;0,388888888888889;0,59208185089764
Actitis hypoleucos;Hivernage;2013;2,625;0,59208185089764
Actitis hypoleucos;Hivernage;2008;0,285714285714286;0,59208185089764
Actitis hypoleucos;Hivernage;2012;0,4;0,59208185089764
Actitis hypoleucos;Hivernage;1998;0,45;0,59208185089764
Actitis hypoleucos;Hivernage;1993;0,411764705882353;0,59208185089764
Actitis hypoleucos;Hivernage;2016;0,375;0,59208185089764
Actitis hypoleucos;Hivernage;2020;0,5;0,59208185089764
Actitis hypoleucos;Hivernage;2006;1,2;0,59208185089764
Actitis hypoleucos;Hivernage;2001;0,7;0,59208185089764
Actitis hypoleucos;Hivernage;2005;0,588235294117647;0,59208185089764
Actitis hypoleucos;Hivernage;1991;0,105263157894737;0,59208185089764
Actitis hypoleucos;Hivernage;1986;0,35;0,59208185089764
Actitis hypoleucos;Hivernage;2009;0,857142857142857;0,59208185089764
Actitis hypoleucos;Hivernage;1995;0,789473684210526;0,59208185089764
Actitis hypoleucos;Hivernage;2017;0,666666666666667;0,59208185089764
Actitis hypoleucos;Hivernage;1994;0,666666666666667;0,59208185089764
Actitis hypoleucos;Hivernage;1989;0;0,59208185089764
Actitis hypoleucos;Hivernage;2021;0,615384615384615;0,59208185089764
Actitis hypoleucos;Hivernage;2007;0,333333333333333;0,59208185089764
Actitis hypoleucos;Hivernage;2002;0,380952380952381;0,59208185089764
Actitis hypoleucos;Hivernage;1988;0,526315789473684;0,59208185089764
Actitis hypoleucos;Hivernage;2010;1;0,59208185089764
Actitis hypoleucos;Hivernage;1987;0,619047619047619;0,59208185089764
Actitis hypoleucos;Hivernage;2019;0,363636363636364;0,59208185089764
Actitis hypoleucos;Hivernage;2014;1;0,59208185089764
Actitis hypoleucos;Hivernage;2018;0,7;0,59208185089764
Actitis hypoleucos;Hivernage;1984;0,523809523809524;0,59208185089764
Actitis hypoleucos;Hivernage;1999;0,619047619047619;0,59208185089764
Actitis hypoleucos;Hivernage;2003;0,523809523809524;0,59208185089764
Actitis hypoleucos;Hivernage;1997;0,722222222222222;0,59208185089764
Actitis hypoleucos;Hivernage;2015;0,333333333333333;0,59208185089764
Actitis hypoleucos;Hivernage;1996;0,333333333333333;0,59208185089764
Actitis hypoleucos;Hivernage;2011;0,8;0,59208185089764
Actitis hypoleucos;Hivernage;1985;0,684210526315789;0,59208185089764
Actitis hypoleucos;Hivernage;2000;0,25;0,59208185089764
Actitis hypoleucos;Hivernage;1983;0,454545454545455;0,59208185089764
Actitis hypoleucos;Hivernage;1982;0,75;0,59208185089764
Actitis hypoleucos;Hivernage;1990;0,19047619047619;0,59208185089764
Actitis hypoleucos;Hivernage;1992;0,3;0,59208185089764
