DATE,PM1,PM2,COEFF1,COEFF2
1/1/1980,0430,1654,82,84
2/1/1980,0514,1736,86,87
3/1/1980,0554,1816,87,87
4/1/1980,0633,1854,86,85
5/1/1980,0709,1929,83,80
6/1/1980,0743,2002,77,73
7/1/1980,0816,2036,69,65
8/1/1980,0852,2115,61,56
9/1/1980,0934,2201,52,47
10/1/1980,1025,2300,44,41
11/1/1980,1129,,38,
12/1/1980,0009,1239,38,38
13/1/1980,0118,1347,41,44
14/1/1980,0221,1450,49,55
15/1/1980,0317,1544,61,67
16/1/1980,0407,1633,73,79
17/1/1980,0454,1719,85,90
18/1/1980,0539,1803,95,98
19/1/1980,0623,1847,101,103
20/1/1980,0707,1931,104,103
21/1/1980,0752,2017,101,98
22/1/1980,0839,2104,94,89
23/1/1980,0929,2157,83,77
24/1/1980,1026,2300,70,64
25/1/1980,1133,,59,
26/1/1980,0011,1245,55,52
27/1/1980,0123,1357,52,53
28/1/1980,0231,1502,56,60
29/1/1980,0330,1557,64,68
30/1/1980,0419,1642,72,76
31/1/1980,0501,1722,79,82
1/2/1980,0539,1759,84,85
2/2/1980,0614,1833,86,86
3/2/1980,0648,1905,86,85
4/2/1980,0719,1936,83,81
5/2/1980,0750,2006,78,75
6/2/1980,0821,2039,71,67
7/2/1980,0855,2116,62,57
8/2/1980,0937,2203,52,48
9/2/1980,1029,2305,44,40
10/2/1980,1138,,38,
11/2/1980,0021,1257,37,39
12/2/1980,0139,1415,42,48
13/2/1980,0248,1520,54,62
14/2/1980,0345,1614,70,78
15/2/1980,0435,1702,86,93
16/2/1980,0523,1748,100,105
17/2/1980,0608,1832,110,113
18/2/1980,0652,1916,114,114
19/2/1980,0736,1959,112,109
20/2/1980,0820,2043,104,98
21/2/1980,0907,2130,90,82
22/2/1980,0958,2225,73,65
23/2/1980,1101,2335,57,51
24/2/1980,1215,,46,
25/2/1980,0053,1335,44,44
26/2/1980,0213,1449,47,51
27/2/1980,0317,1545,56,61
28/2/1980,0406,1628,66,71
29/2/1980,0445,1705,75,79
1/3/1980,0520,1737,82,84
2/3/1980,0552,1808,86,87
3/3/1980,0623,1839,88,88
4/3/1980,0654,1909,87,86
5/3/1980,0723,1938,84,81
6/3/1980,0752,2008,78,74
7/3/1980,0824,2043,70,65
8/3/1980,0902,2125,60,55
9/3/1980,0950,2221,49,45
10/3/1980,1056,2335,40,38
11/3/1980,1217,,37,
12/3/1980,0059,1344,40,45
13/3/1980,0220,1456,52,60
