SP;REP_START;REP_END;HIV_START;HIV_END;Auteur
Recurvirostra avosetta;43;71;111;22;Claude Feigné
Limosa limosa;53;53;72;33;Philippe Mourguiart
Limosa lapponica;62;72;111;32;Claude Feigné
Calidris canutus;61;71;102;22;Claude Feigné
Calidris minuta;53;72;111;42;Claude Feigné
Calidris alpina;61;72;121;23;Claude Feigné
Anas acuta;51;91;121;22;Philippe Mourguiart
Anas clypeata;51;82;121;22;Philippe Mourguiart
Tringa nebularia;52;71;92;22;Claude Feigné
Tringa erythropus;52;63;113;31;Claude Feigné
Tringa totanus;61;62;102;23;Claude Feigné
Actitis hypoleucos;53;71;93;31;Andréas Guyot
Numenius arquata;42;62;111;23;Claude Feigné
Numenius phaeopus;53;62;101;41;Claude Feigné
Charadrius hiaticula;62;72;111;23;Claude Feigné
Pluvialis squatarola;61;71;121;32;Claude Feigné
Platalea leucorodia;52;73;111;31;Florent Lagarde et Paul Lesclaux
