SSP;SP
Branta bernicla hrota;Branta bernicla
Branta bernicla nigricans;Branta bernicla
Larus michahellis lusitanius;Larus michahellis
Larus glaucoides kumlieni;Larus glaucoides
Luscinia svecica cyanecula / namnetum;Luscinia svecica
Luscinia svecica namnetum;Luscinia svecica
Motacilla alba yarrellii;Motacilla alba
Motacilla flava cinereocapilla;Motacilla flava
Motacilla flava flava;Motacilla flava
Motacilla flava flavissima;Motacilla flava
Motacilla flava iberiae;Motacilla flava
Motacilla flava thunbergi;Motacilla flava
Oenanthe oenanthe leucorhoa;Oenanthe oenanthe
Columba livia f. domestica;Columba livia
